date,time,product_name,unit_price,quantity,revenue,store_name,campaign
2024-08-18,15:13:00,Product_69,9.62,9,86.58,Store_22,
2024-02-29,03:08:00,Product_33,35.04,19,665.76,Store_6,
2024-05-16,20:55:00,Product_90,9.94,13,129.22,Store_41,
2024-02-19,11:44:00,Product_20,85.39,7,597.73,Store_16,
2024-07-05,18:45:00,Product_61,8.22,13,106.86,Store_44,
2024-06-07,05:30:00,Product_1,96.38,7,674.66,Store_25,
2024-07-27,12:07:00,Product_100,82.43,19,1566.17,Store_33,
2024-07-11,04:02:00,Product_41,41.82,1,41.82,Store_39,
2024-02-14,22:04:00,Product_72,36.94,15,554.1,Store_42,10% off Black Friday
2025-01-02,07:00:00,Product_63,7.56,7,52.92,Store_36,
2024-04-25,01:41:00,Product_75,73.06,2,146.12,Store_14,
2024-11-18,18:18:00,Product_14,96.05,15,1440.75,Store_13,
2024-06-26,22:59:00,Product_90,9.94,10,99.4,Store_3,
2024-02-15,15:18:00,Product_38,43.16,19,820.04,Store_30,Summer Sale
2024-12-08,06:52:00,Product_93,37.68,17,640.56,Store_44,10% off Black Friday
2024-08-17,02:39:00,Product_87,41.97,14,587.58,Store_43,
2024-02-09,00:11:00,Product_72,36.94,16,591.04,Store_18,
2024-11-17,21:45:00,Product_73,99.96,5,499.8,Store_10,Summer Sale
2024-06-14,11:46:00,Product_95,29.55,4,118.2,Store_39,
2025-01-02,23:50:00,Product_55,55.51,1,55.51,Store_17,Summer Sale
2024-05-04,07:37:00,Product_40,60.5,9,544.5,Store_18,
2024-02-18,22:55:00,Product_67,61.49,4,245.96,Store_14,
2024-02-09,23:46:00,Product_23,53.69,9,483.21,Store_1,
2024-04-09,05:46:00,Product_91,42.69,7,298.83,Store_12,
2024-05-19,01:14:00,Product_68,39.27,12,471.24,Store_17,10% off Black Friday
2024-12-17,11:24:00,Product_49,97.64,1,97.64,Store_10,
2025-01-22,04:22:00,Product_24,73.32,2,146.64,Store_6,Summer Sale
2025-01-16,17:28:00,Product_57,12.48,12,149.76,Store_15,
2024-11-25,22:04:00,Product_58,33.19,9,298.71,Store_11,
2024-03-04,05:37:00,Product_2,14.38,20,287.6,Store_24,
2024-06-22,04:43:00,Product_30,44.51,11,489.61,Store_43,
2024-02-15,18:38:00,Product_97,57.63,2,115.26,Store_34,10% off Black Friday
2024-08-10,05:38:00,Product_81,74.48,8,595.84,Store_20,Summer Sale
2024-10-09,23:33:00,Product_26,77.73,17,1321.41,Store_25,
2024-07-05,17:05:00,Product_13,27.68,9,249.12,Store_42,
2024-11-21,07:59:00,Product_81,74.48,2,148.96,Store_8,Summer Sale
2024-08-30,04:56:00,Product_7,94.32,14,1320.48,Store_43,
2024-08-06,03:16:00,Product_23,53.69,2,107.38,Store_19,
2024-10-05,12:15:00,Product_14,96.05,20,1921.0,Store_36,
2024-04-20,22:26:00,Product_3,41.56,6,249.36,Store_31,
2024-03-29,03:39:00,Product_25,10.34,7,72.38,Store_18,
2024-08-27,15:04:00,Product_11,6.03,11,66.33,Store_41,
2024-11-12,21:30:00,Product_23,53.69,14,751.66,Store_13,
2024-11-15,13:09:00,Product_86,40.26,1,40.26,Store_15,
2025-01-02,10:51:00,Product_19,5.68,20,113.6,Store_24,
2024-10-17,08:28:00,Product_58,33.19,17,564.23,Store_13,10% off Black Friday
2024-06-11,19:34:00,Product_99,14.79,11,162.69,Store_35,
2024-04-23,07:19:00,Product_21,9.94,16,159.04,Store_21,
2024-12-29,13:28:00,Product_15,91.92,1,91.92,Store_14,
2024-09-07,14:53:00,Product_51,82.75,19,1572.25,Store_23,
2025-01-21,14:27:00,Product_69,9.62,19,182.78,Store_22,
2024-06-28,23:03:00,Product_49,97.64,12,1171.68,Store_6,
2024-06-05,02:18:00,Product_79,26.03,8,208.24,Store_45,
2024-07-02,20:06:00,Product_18,77.35,7,541.45,Store_19,
2024-03-12,20:10:00,Product_15,91.92,12,1103.04,Store_45,
2024-08-13,20:03:00,Product_15,91.92,3,275.76,Store_28,
2024-05-23,07:45:00,Product_56,44.3,5,221.5,Store_14,
2024-10-29,13:56:00,Product_31,30.41,7,212.87,Store_15,
2024-04-15,09:14:00,Product_40,60.5,8,484.0,Store_38,
2024-05-20,21:48:00,Product_44,35.55,7,248.85,Store_17,
2024-02-06,21:04:00,Product_65,45.33,18,815.94,Store_41,
2024-12-19,18:11:00,Product_27,78.61,14,1100.54,Store_31,
2024-08-10,07:05:00,Product_83,75.83,18,1364.94,Store_15,
2024-08-21,19:35:00,Product_10,16.22,1,16.22,Store_45,
2024-03-30,13:18:00,Product_66,12.99,10,129.9,Store_6,
2024-07-08,18:38:00,Product_43,61.27,13,796.51,Store_20,
2024-08-04,15:06:00,Product_89,49.26,13,640.38,Store_13,
2025-01-16,00:55:00,Product_21,9.94,11,109.34,Store_13,
2024-02-14,06:49:00,Product_99,14.79,9,133.11,Store_15,
2024-02-08,17:01:00,Product_16,86.57,4,346.28,Store_42,
2024-08-28,04:08:00,Product_65,45.33,12,543.96,Store_6,
2024-05-06,17:55:00,Product_9,10.75,13,139.75,Store_36,
2024-09-22,09:35:00,Product_88,98.23,10,982.3,Store_33,
2024-06-01,04:33:00,Product_87,41.97,18,755.46,Store_29,10% off Black Friday
2024-09-04,16:18:00,Product_51,82.75,4,331.0,Store_23,
2024-12-04,14:41:00,Product_9,10.75,19,204.25,Store_36,Summer Sale
2024-10-13,09:02:00,Product_87,41.97,3,125.91,Store_14,Summer Sale
2024-07-12,22:18:00,Product_60,33.13,14,463.82,Store_42,
2024-04-26,04:35:00,Product_86,40.26,12,483.12,Store_44,
2024-04-24,01:57:00,Product_28,40.6,2,81.2,Store_8,Summer Sale
2024-12-12,16:06:00,Product_52,12.07,12,144.84,Store_1,
