date,time,product_name,unit_price,quantity,revenue,store_name,campaign
2023-08-21,10:18:53,Electronics Product 7,151.63,2,303.26,Beijing Store 21,
2023-10-01,19:09:59,Books Product 9,19.53,5,97.65,Los Angeles Store 26,
2023-11-07,23:56:32,Books Product 8,15.87,4,63.48,Los Angeles Store 19,
2023-09-08,18:45:14,Electronics Product 7,151.63,5,758.15,Paris Store 22,
2023-12-14,16:36:38,Clothing Product 8,112.17,3,336.51,Tokyo Store 43,Holiday Special 15%
2023-11-27,23:07:51,Home & Kitchen Product 1,479.24,1,479.24,New York Store 3,
2023-08-09,18:17:28,Sports & Outdoors Product 6,54.81,1,54.81,Los Angeles Store 23,
2023-07-18,05:04:17,Sports & Outdoors Product 7,202.15,1,202.15,Tokyo Store 36,
2023-12-02,05:43:53,Books Product 8,15.87,3,47.61,Los Angeles Store 15,
2023-02-15,04:11:32,Automotive Product 8,761.52,3,2284.56,Beijing Store 28,
2023-12-31,20:01:37,Toys & Games Product 5,162.43,2,324.86,New York Store 20,
2023-05-22,06:19:44,Beauty Product 8,82.67,5,413.35,Los Angeles Store 23,
2023-02-09,09:32:57,Home & Kitchen Product 8,47.72,5,238.6,Beijing Store 13,
2023-03-19,13:57:39,Beauty Product 2,39.99,3,119.97,New York Store 20,
2023-09-25,17:17:53,Toys & Games Product 6,28.32,2,56.64,Los Angeles Store 35,Holiday Special 15%
2023-06-29,03:50:09,Home & Kitchen Product 1,479.24,2,958.48,Los Angeles Store 6,
2023-11-29,21:55:09,Home & Kitchen Product 3,423.97,1,423.97,Beijing Store 28,
2023-12-16,20:43:37,Beauty Product 6,45.41,3,136.23,Tokyo Store 18,10% off Black Friday
2023-07-23,09:39:21,Clothing Product 3,138.42,4,553.68,Beijing Store 34,
2023-04-14,21:50:26,Books Product 3,37.29,2,74.58,Beijing Store 28,
2023-05-12,13:33:09,Home & Kitchen Product 2,147.16,1,147.16,London Store 42,
2023-03-09,00:51:32,Clothing Product 5,127.59,2,255.18,Los Angeles Store 10,
2023-02-22,09:14:03,Clothing Product 4,42.95,3,128.85,Beijing Store 40,
2023-09-13,10:40:51,Home & Kitchen Product 8,47.72,3,143.16,Los Angeles Store 10,
2023-11-09,03:33:48,Beauty Product 1,15.75,3,47.25,New York Store 33,
2023-01-24,03:33:03,Automotive Product 5,757.61,2,1515.22,Tokyo Store 24,
2023-06-05,05:08:01,Clothing Product 1,61.49,1,61.49,Beijing Store 27,
2023-03-18,23:58:28,Groceries Product 1,47.17,1,47.17,Beijing Store 16,
2023-05-06,03:52:07,Sports & Outdoors Product 1,123.75,3,371.25,New York Store 14,
2023-04-06,09:27:06,Clothing Product 3,138.42,1,138.42,Los Angeles Store 35,
2023-03-28,17:59:47,Home & Kitchen Product 10,390.92,2,781.84,Beijing Store 28,Holiday Special 15%
2023-07-12,06:28:50,Electronics Product 1,1491.36,4,5965.44,London Store 42,
2023-08-22,00:29:46,Clothing Product 2,34.07,1,34.07,London Store 4,
2023-07-06,07:28:35,Sports & Outdoors Product 1,123.75,3,371.25,Los Angeles Store 37,
2023-03-31,20:57:31,Books Product 5,19.5,2,39.0,Los Angeles Store 37,
2023-10-14,01:51:56,Groceries Product 1,47.17,3,141.51,Los Angeles Store 35,
2023-09-04,17:47:11,Beauty Product 7,35.42,3,106.26,London Store 29,
2023-10-01,15:38:08,Home & Kitchen Product 1,431.32,2,862.64,Los Angeles Store 23,10% off Black Friday
2023-09-24,07:54:01,Beauty Product 6,50.46,5,252.3,New York Store 3,
2023-10-04,20:11:07,Automotive Product 7,132.48,5,662.4,Los Angeles Store 26,
2023-05-18,15:49:14,Beauty Product 6,50.46,5,252.3,Los Angeles Store 15,
2023-10-11,13:10:40,Beauty Product 8,82.67,1,82.67,Beijing Store 9,
2023-12-20,18:01:37,Home & Kitchen Product 3,423.97,3,1271.91,Beijing Store 16,
2023-11-07,17:15:31,Electronics Product 5,733.29,2,1466.58,Tokyo Store 18,
2023-03-16,20:47:43,Home & Kitchen Product 5,216.75,4,867.0,Los Angeles Store 19,
2023-07-17,12:27:05,Books Product 2,16.06,5,80.3,Beijing Store 27,Holiday Special 15%
2023-01-17,06:51:57,Groceries Product 8,36.61,3,109.83,Los Angeles Store 10,
2023-10-23,04:22:33,Beauty Product 1,12.6,1,12.6,New York Store 39,Summer Sale 20%
2023-08-15,00:21:51,Electronics Product 8,204.31,3,612.93,Beijing Store 40,
2023-01-27,22:24:53,Books Product 6,31.58,2,63.16,Los Angeles Store 19,
2023-07-22,01:18:31,Clothing Product 7,115.25,4,461.0,London Store 25,
2023-10-29,09:21:50,Sports & Outdoors Product 2,125.62,5,628.1,Los Angeles Store 19,
2023-07-11,03:20:54,Toys & Games Product 10,90.92,2,181.84,Paris Store 41,Spring Clearance 25%
2023-05-08,21:10:38,Electronics Product 7,151.63,2,303.26,New York Store 14,
2023-07-25,13:16:09,Beauty Product 3,25.78,5,128.9,Tokyo Store 8,
2023-04-07,11:08:31,Groceries Product 3,6.89,4,27.56,Beijing Store 44,
2023-07-29,20:14:46,Toys & Games Product 5,162.43,1,162.43,New York Store 38,
2023-12-12,08:44:51,Books Product 3,37.29,4,149.16,Los Angeles Store 19,
2023-08-12,22:46:11,Toys & Games Product 9,25.11,3,75.33,Tokyo Store 1,
2023-05-07,00:15:02,Sports & Outdoors Product 10,279.77,4,1119.08,New York Store 14,
2023-07-26,14:57:56,Books Product 3,37.29,4,149.16,New York Store 20,
2023-11-02,00:19:44,Electronics Product 10,711.28,3,2133.84,Los Angeles Store 23,
2023-02-18,08:53:08,Automotive Product 10,180.72,4,722.88,Beijing Store 13,
2023-03-22,02:53:47,Clothing Product 3,138.42,1,138.42,Los Angeles Store 23,
2023-05-04,20:36:21,Clothing Product 1,61.49,2,122.98,Los Angeles Store 23,
2023-12-21,22:38:21,Groceries Product 6,14.22,5,71.1,Beijing Store 27,
2023-12-13,08:00:24,Automotive Product 2,100.29,4,401.16,Beijing Store 9,
2023-03-06,16:54:23,Beauty Product 2,39.99,2,79.98,Beijing Store 27,
2023-06-29,07:47:12,Clothing Product 3,138.42,1,138.42,Los Angeles Store 23,
2023-07-17,20:43:49,Sports & Outdoors Product 6,54.81,4,219.24,Tokyo Store 24,
2023-05-18,13:34:03,Home & Kitchen Product 8,47.72,4,190.88,Los Angeles Store 6,
2023-11-25,01:53:29,Clothing Product 5,127.59,4,510.36,New York Store 14,
2023-12-26,12:11:49,Clothing Product 2,34.07,5,170.35,Beijing Store 40,
2023-07-05,06:21:39,Beauty Product 2,33.99,3,101.97,Beijing Store 28,Holiday Special 15%
2023-04-05,21:44:51,Home & Kitchen Product 4,306.82,1,306.82,Los Angeles Store 26,
2023-07-14,15:34:50,Beauty Product 6,50.46,2,100.92,Los Angeles Store 23,
2023-08-05,23:43:58,Toys & Games Product 10,96.98,5,484.9,Beijing Store 21,Summer Sale 20%
2023-02-14,21:46:37,Home & Kitchen Product 3,423.97,5,2119.85,London Store 5,
2023-04-14,11:55:34,Books Product 10,14.71,3,44.13,London Store 45,Summer Sale 20%
2023-02-24,09:13:14,Home & Kitchen Product 9,225.31,2,450.62,New York Store 14,
2023-09-04,05:41:15,Electronics Product 5,733.29,2,1466.58,Beijing Store 13,
2023-01-27,16:14:34,Electronics Product 3,457.74,2,915.48,Los Angeles Store 19,
2023-07-09,11:35:58,Clothing Product 8,131.96,1,131.96,Los Angeles Store 35,
2023-09-30,13:12:25,Groceries Product 3,6.89,1,6.89,New York Store 14,
2023-04-25,02:24:15,Electronics Product 9,1364.91,4,5459.64,Los Angeles Store 37,
2023-10-02,12:08:21,Books Product 8,15.87,1,15.87,Tokyo Store 1,
2023-08-17,07:16:14,Books Product 6,25.26,5,126.3,New York Store 3,Summer Sale 20%
2023-10-14,18:54:34,Clothing Product 3,138.42,3,415.26,New York Store 39,
2023-08-14,05:40:27,Books Product 3,37.29,4,149.16,Beijing Store 28,
2023-01-29,20:48:12,Groceries Product 9,37.6,1,37.6,Los Angeles Store 26,
2023-10-15,11:35:06,Automotive Product 8,761.52,3,2284.56,Tokyo Store 31,
2023-12-15,04:32:24,Home & Kitchen Product 4,306.82,2,613.64,Los Angeles Store 23,
2023-02-15,18:31:17,Groceries Product 6,14.22,3,42.66,Beijing Store 9,
2023-11-04,19:39:44,Clothing Product 5,127.59,3,382.77,Beijing Store 28,
2023-03-21,13:14:16,Automotive Product 10,180.72,4,722.88,Paris Store 17,
2023-08-05,18:14:53,Clothing Product 5,127.59,2,255.18,Tokyo Store 18,
2023-07-06,13:35:14,Groceries Product 3,6.89,3,20.67,New York Store 20,
2023-08-30,04:49:19,Electronics Product 3,457.74,2,915.48,New York Store 20,
2023-09-19,00:57:29,Clothing Product 2,34.07,3,102.21,Beijing Store 13,
2023-05-02,19:26:39,Electronics Product 10,711.28,2,1422.56,Los Angeles Store 15,
2023-08-05,10:51:48,Clothing Product 5,127.59,1,127.59,Beijing Store 9,
2023-08-20,01:37:49,Automotive Product 7,132.48,5,662.4,New York Store 14,
2023-12-01,16:03:12,Automotive Product 9,975.91,4,3903.64,Beijing Store 34,
2023-01-15,22:35:40,Home & Kitchen Product 1,407.35,4,1629.4,Los Angeles Store 35,Holiday Special 15%
2023-09-10,13:22:58,Toys & Games Product 5,162.43,3,487.29,Tokyo Store 31,
2023-11-23,13:11:30,Beauty Product 1,15.75,1,15.75,Los Angeles Store 23,
2023-05-09,21:21:04,Toys & Games Product 8,193.82,5,969.1,Los Angeles Store 37,
2023-09-02,08:17:06,Groceries Product 5,30.16,4,120.64,London Store 32,
2023-08-30,15:56:12,Beauty Product 1,15.75,1,15.75,Los Angeles Store 26,
2023-10-18,03:16:52,Beauty Product 3,25.78,1,25.78,Beijing Store 9,
2023-02-27,19:37:26,Clothing Product 5,127.59,4,510.36,Beijing Store 9,
2023-05-09,17:44:14,Books Product 1,28.59,1,28.59,Beijing Store 40,Holiday Special 15%
2023-01-21,08:55:13,Sports & Outdoors Product 10,279.77,5,1398.85,Beijing Store 28,
2023-04-18,02:47:06,Home & Kitchen Product 5,216.75,4,867.0,Beijing Store 28,
2023-01-08,14:32:17,Clothing Product 5,127.59,2,255.18,Los Angeles Store 35,
2023-12-26,00:46:04,Sports & Outdoors Product 7,202.15,5,1010.75,Beijing Store 40,
2023-07-16,23:02:52,Beauty Product 4,34.16,2,68.32,New York Store 14,
2023-08-17,08:13:18,Sports & Outdoors Product 2,125.62,4,502.48,New York Store 33,
2023-12-21,19:18:44,Toys & Games Product 2,196.11,2,392.22,New York Store 33,
2023-02-08,13:42:03,Beauty Product 5,78.69,1,78.69,Tokyo Store 31,
2023-01-22,06:18:33,Automotive Product 5,757.61,1,757.61,New York Store 3,
2023-10-10,21:03:24,Beauty Product 10,15.09,3,45.27,Beijing Store 27,
2023-06-22,19:40:57,Sports & Outdoors Product 6,54.81,3,164.43,Tokyo Store 36,
2023-01-04,17:46:44,Automotive Product 4,58.17,1,58.17,Beijing Store 28,10% off Black Friday
2023-07-30,01:00:43,Clothing Product 5,127.59,3,382.77,London Store 5,
2023-12-24,00:19:58,Home & Kitchen Product 1,479.24,3,1437.72,Los Angeles Store 37,
2023-02-11,21:27:20,Groceries Product 8,36.61,4,146.44,Los Angeles Store 35,
2023-12-29,00:54:15,Toys & Games Product 10,121.23,4,484.92,Los Angeles Store 37,
2023-06-09,11:56:09,Groceries Product 5,30.16,2,60.32,Los Angeles Store 37,
2023-06-17,23:23:06,Clothing Product 7,115.25,2,230.5,Beijing Store 44,
2023-09-19,06:06:38,Home & Kitchen Product 3,381.57,3,1144.71,Beijing Store 40,10% off Black Friday
2023-04-03,10:34:58,Beauty Product 8,82.67,5,413.35,Los Angeles Store 35,
2023-04-30,02:51:37,Clothing Product 6,71.74,4,286.96,Los Angeles Store 15,
2023-07-24,18:59:05,Clothing Product 4,42.95,2,85.9,Beijing Store 16,
2023-04-09,13:32:47,Books Product 5,14.62,5,73.1,London Store 45,Spring Clearance 25%
2023-11-16,18:30:53,Clothing Product 5,127.59,5,637.95,London Store 25,
2023-01-31,19:43:46,Clothing Product 1,61.49,2,122.98,Los Angeles Store 26,
2023-07-14,18:37:15,Beauty Product 2,39.99,1,39.99,Los Angeles Store 6,
2023-04-20,14:01:44,Beauty Product 8,74.4,5,372.0,Beijing Store 21,10% off Black Friday
2023-09-01,05:28:59,Sports & Outdoors Product 8,93.34,5,466.7,Tokyo Store 2,
2023-05-30,04:18:44,Beauty Product 9,32.3,1,32.3,New York Store 20,
2023-10-29,16:23:12,Groceries Product 3,6.89,1,6.89,Los Angeles Store 15,
2023-04-21,19:04:47,Books Product 1,33.63,5,168.15,Los Angeles Store 15,
2023-03-30,20:21:24,Toys & Games Product 7,164.82,2,329.64,New York Store 14,
2023-06-09,13:59:39,Home & Kitchen Product 4,306.82,2,613.64,Los Angeles Store 6,
2023-07-22,07:41:18,Toys & Games Product 9,25.11,2,50.22,Tokyo Store 18,
2023-05-25,10:18:52,Beauty Product 2,39.99,5,199.95,London Store 25,
2023-11-05,23:34:21,Groceries Product 10,8.81,2,17.62,London Store 32,
2023-02-07,22:15:33,Clothing Product 1,61.49,5,307.45,Los Angeles Store 6,
2023-06-12,18:28:36,Automotive Product 4,51.7,5,258.5,Los Angeles Store 37,Summer Sale 20%
2023-06-14,06:27:27,Automotive Product 6,301.92,4,1207.68,Los Angeles Store 19,
2023-07-13,09:55:17,Clothing Product 5,127.59,4,510.36,Tokyo Store 18,
2023-03-31,13:26:32,Clothing Product 7,115.25,2,230.5,New York Store 14,
2023-06-05,08:46:33,Books Product 9,19.53,1,19.53,Beijing Store 27,
2023-08-26,12:19:50,Automotive Product 10,180.72,2,361.44,Beijing Store 9,
2023-01-08,19:39:52,Clothing Product 2,34.07,2,68.14,New York Store 14,
2023-02-16,06:26:31,Beauty Product 3,21.91,2,43.82,Tokyo Store 31,Holiday Special 15%
2023-09-05,00:41:10,Books Product 6,31.58,2,63.16,Beijing Store 27,
2023-03-07,23:56:34,Home & Kitchen Product 9,225.31,4,901.24,Los Angeles Store 10,
2023-09-30,19:53:30,Clothing Product 8,131.96,2,263.92,Tokyo Store 43,
2023-05-23,19:18:18,Beauty Product 8,82.67,3,248.01,Los Angeles Store 23,
2023-10-05,06:55:41,Home & Kitchen Product 6,266.34,2,532.68,Los Angeles Store 23,
2023-02-01,22:27:05,Groceries Product 3,6.89,5,34.45,Los Angeles Store 35,
2023-12-16,16:01:33,Toys & Games Product 2,196.11,1,196.11,Paris Store 17,
2023-10-31,08:51:27,Automotive Product 5,757.61,3,2272.83,New York Store 14,
2023-07-07,01:47:20,Automotive Product 4,64.63,5,323.15,Los Angeles Store 19,
2023-03-11,20:33:23,Automotive Product 2,100.29,2,200.58,London Store 5,
2023-10-12,11:18:56,Groceries Product 6,14.22,4,56.88,Tokyo Store 18,
2023-07-02,04:13:51,Books Product 9,19.53,3,58.59,New York Store 3,
2023-09-29,03:10:14,Clothing Product 5,127.59,5,637.95,Los Angeles Store 10,
2023-11-30,02:11:04,Groceries Product 9,37.6,1,37.6,Beijing Store 40,
2023-05-01,09:19:17,Clothing Product 9,114.18,3,342.54,Tokyo Store 24,
2023-08-18,00:04:50,Electronics Product 4,247.93,4,991.72,Tokyo Store 43,
2023-12-16,19:32:39,Toys & Games Product 7,164.82,1,164.82,Los Angeles Store 35,
2023-07-09,05:25:45,Groceries Product 3,6.89,5,34.45,Los Angeles Store 37,
2023-01-09,15:16:28,Beauty Product 2,39.99,2,79.98,Tokyo Store 2,
2023-07-27,20:31:37,Groceries Product 10,8.81,2,17.62,Beijing Store 9,
2023-08-03,00:26:28,Sports & Outdoors Product 7,202.15,3,606.45,Beijing Store 40,
2023-10-16,18:00:15,Beauty Product 6,45.41,3,136.23,Los Angeles Store 23,10% off Black Friday
2023-06-29,02:13:53,Sports & Outdoors Product 9,133.3,2,266.6,Beijing Store 21,
2023-01-20,18:28:44,Books Product 1,33.63,2,67.26,Tokyo Store 8,
2023-12-06,07:44:40,Toys & Games Product 7,164.82,5,824.1,Paris Store 22,
2023-03-18,17:13:35,Home & Kitchen Product 2,117.73,1,117.73,Beijing Store 27,Summer Sale 20%
2023-07-20,19:58:11,Books Product 5,16.57,5,82.85,Paris Store 12,Holiday Special 15%
2023-04-15,17:00:24,Home & Kitchen Product 2,147.16,2,294.32,Beijing Store 16,
2023-01-18,05:21:38,Beauty Product 2,39.99,3,119.97,Tokyo Store 2,
2023-06-13,18:43:24,Books Product 3,37.29,1,37.29,Beijing Store 28,
2023-09-04,20:18:18,Clothing Product 10,23.11,2,46.22,Tokyo Store 1,
2023-11-09,19:27:39,Electronics Product 2,1002.47,4,4009.88,New York Store 20,
2023-09-27,14:03:45,Beauty Product 6,42.89,5,214.45,New York Store 20,Holiday Special 15%
2023-03-10,17:40:58,Automotive Product 4,64.63,2,129.26,Los Angeles Store 35,
2023-11-16,18:37:07,Electronics Product 7,151.63,2,303.26,Beijing Store 40,
2023-06-21,04:30:25,Home & Kitchen Product 5,195.08,3,585.24,Tokyo Store 2,10% off Black Friday
2023-01-20,20:17:38,Toys & Games Product 9,25.11,5,125.55,Los Angeles Store 6,
2023-07-27,15:38:09,Automotive Product 3,336.68,4,1346.72,Beijing Store 16,
2023-06-16,23:07:39,Books Product 6,23.68,2,47.36,Los Angeles Store 37,Spring Clearance 25%
2023-12-05,22:38:13,Home & Kitchen Product 6,266.34,2,532.68,Beijing Store 27,
2023-08-27,19:48:35,Sports & Outdoors Product 2,125.62,1,125.62,Tokyo Store 36,
2023-08-02,05:15:03,Electronics Product 6,1244.19,5,6220.95,Los Angeles Store 19,
2023-06-25,15:31:48,Sports & Outdoors Product 2,125.62,3,376.86,Los Angeles Store 23,
2023-09-21,11:23:08,Toys & Games Product 9,25.11,1,25.11,Beijing Store 13,
2023-04-29,13:17:20,Toys & Games Product 2,196.11,2,392.22,Los Angeles Store 10,
2023-04-22,15:20:47,Automotive Product 6,301.92,1,301.92,Beijing Store 34,
2023-03-24,17:31:49,Automotive Product 2,100.29,5,501.45,New York Store 20,
2023-09-06,10:01:02,Automotive Product 4,64.63,4,258.52,Los Angeles Store 10,
