store_name,city,state,country,continent
Tokyo Store 1,Tokyo,Tokyo,Japan,Asia
Tokyo Store 2,Tokyo,Tokyo,Japan,Asia
New York Store 3,New York,NY,USA,North America
London Store 4,London,England,UK,Europe
London Store 5,London,England,UK,Europe
Los Angeles Store 6,Los Angeles,CA,USA,North America
Paris Store 7,Paris,Île-de-France,France,Europe
Tokyo Store 8,Tokyo,Tokyo,Japan,Asia
Beijing Store 9,Beijing,Hebei,China,Asia
Los Angeles Store 10,Los Angeles,CA,USA,North America
Tokyo Store 11,Tokyo,Tokyo,Japan,Asia
Paris Store 12,Paris,Île-de-France,France,Europe
Beijing Store 13,Beijing,Hebei,China,Asia
New York Store 14,New York,NY,USA,North America
Los Angeles Store 15,Los Angeles,CA,USA,North America
Beijing Store 16,Beijing,Hebei,China,Asia
Paris Store 17,Paris,Île-de-France,France,Europe
Tokyo Store 18,Tokyo,Tokyo,Japan,Asia
Los Angeles Store 19,Los Angeles,CA,USA,North America
New York Store 20,New York,NY,USA,North America
Beijing Store 21,Beijing,Hebei,China,Asia
Paris Store 22,Paris,Île-de-France,France,Europe
Los Angeles Store 23,Los Angeles,CA,USA,North America
Tokyo Store 24,Tokyo,Tokyo,Japan,Asia
London Store 25,London,England,UK,Europe
Los Angeles Store 26,Los Angeles,CA,USA,North America
Beijing Store 27,Beijing,Hebei,China,Asia
Beijing Store 28,Beijing,Hebei,China,Asia
London Store 29,London,England,UK,Europe
London Store 30,London,England,UK,Europe
Tokyo Store 31,Tokyo,Tokyo,Japan,Asia
London Store 32,London,England,UK,Europe
New York Store 33,New York,NY,USA,North America
Beijing Store 34,Beijing,Hebei,China,Asia
Los Angeles Store 35,Los Angeles,CA,USA,North America
Tokyo Store 36,Tokyo,Tokyo,Japan,Asia
Los Angeles Store 37,Los Angeles,CA,USA,North America
New York Store 38,New York,NY,USA,North America
New York Store 39,New York,NY,USA,North America
Beijing Store 40,Beijing,Hebei,China,Asia
Paris Store 41,Paris,Île-de-France,France,Europe
London Store 42,London,England,UK,Europe
Tokyo Store 43,Tokyo,Tokyo,Japan,Asia
Beijing Store 44,Beijing,Hebei,China,Asia
London Store 45,London,England,UK,Europe
