date,time,product_name,unit_price,quantity,revenue,store_name,campaign
2024-08-19,03:15:14,Printer Paper,7.12,1,7.12,New York Store #751,
2024-11-19,01:14:04,Gaming Console,228.34,1,228.34,Chicago Store #1675,
2024-03-08,23:59:56,T-Shirt,11.07,3,33.21,Beijing Store #3457,
2024-12-03,13:22:27,Gaming Console,491.63,3,1474.89,New York Store #751,
2024-07-25,23:21:51,Gaming Console,276.08,1,276.08,Chicago Store #8202,
2024-05-07,02:28:51,Running Shoes,92.17,4,368.68,Chicago Store #2665,
2024-05-01,05:26:31,Gaming Console,360.42,2,720.84,Los Angeles Store #1680,Holiday Discount
2024-08-20,09:27:44,Makeup Palette,48.9,3,146.7,Berlin Store #4507,
2024-01-30,18:47:34,Yoga Mat,17.57,1,17.57,Shenzhen Store #9655,
2024-03-21,01:32:05,Cheese,2.54,1,2.54,Mumbai Store #9981,
2024-10-18,07:37:38,Stapler,8.61,1,8.61,New York Store #751,
2024-04-14,21:45:20,Notebook,3.05,1,3.05,Houston Store #4423,
2024-02-07,00:29:39,Notebook,2.59,3,7.77,Chicago Store #2665,
2024-02-05,07:23:18,Notebook,6.35,1,6.35,New York Store #5882,
2024-09-27,00:42:52,Organic Eggs,4.65,3,13.95,Chicago Store #8202,
2024-02-24,23:35:09,Microwave Oven,81.59,2,163.18,Shenzhen Store #9655,
2024-09-15,15:16:57,Cheese,5.39,1,5.39,Beijing Store #3457,
2024-11-22,08:10:47,Bread,2.28,2,4.56,Berlin Store #4507,10% off Black Friday
2024-03-17,17:02:53,Car Battery,51.85,2,103.7,Chicago Store #8202,
2024-01-21,11:13:43,Printer Paper,5.48,1,5.48,New York Store #5882,
2024-03-20,07:55:10,Desk Organizer,5.5,1,5.5,Houston Store #9764,
2024-12-08,23:51:15,Notebook,7.61,2,15.22,Shenzhen Store #1292,
2024-04-12,14:22:19,Cookbook,29.8,1,29.8,Los Angeles Store #1680,
2024-05-22,11:41:32,Gaming Console,537.46,2,1074.92,New York Store #5882,
2024-05-13,05:37:16,Printer Paper,6.04,1,6.04,Los Angeles Store #1680,
2024-09-18,03:24:57,Building Blocks,17.0,3,51.0,Montreal Store #4334,
2024-12-17,23:47:47,Organic Eggs,3.73,4,14.92,Houston Store #4423,
2024-12-05,03:46:57,Card Game,21.67,3,65.01,Los Angeles Store #7434,
2024-04-08,13:42:24,Action Figure,15.22,3,45.66,Munich Store #7518,
2024-06-04,09:13:27,Cheese,4.58,3,13.74,New York Store #751,
2024-03-27,21:05:18,Self-Help Book,17.39,3,52.17,Beijing Store #3457,Summer Sale
2024-04-11,04:01:02,T-Shirt,20.28,1,20.28,Beijing Store #3457,
2024-10-21,06:45:44,Printer Paper,4.71,2,9.42,Chicago Store #2665,
2024-02-24,13:14:11,Milk,1.1,3,3.3,Berlin Store #4507,
2024-08-25,21:33:35,Science Fiction Novel,27.66,3,82.98,Houston Store #9764,
2024-08-06,17:28:57,Printer Paper,6.32,1,6.32,Beijing Store #772,
2024-09-23,15:40:15,Car Air Freshener,7.71,2,15.42,Chicago Store #1675,
2024-02-11,04:09:14,Printer Paper,7.94,2,15.88,Shenzhen Store #1292,Holiday Discount
2024-02-01,06:53:26,Cookbook,27.52,2,55.04,Shenzhen Store #1292,
2024-07-13,15:00:22,Bread,3.56,2,7.12,Houston Store #9764,
2024-10-06,19:57:14,Milk,1.87,2,3.74,Toronto Store #6228,Buy One Get One
2024-03-25,14:58:08,Organic Eggs,5.63,3,16.89,Beijing Store #3457,
2024-08-07,04:55:29,Gaming Console,351.64,1,351.64,Beijing Store #3457,
2024-07-13,08:48:53,Bread,1.25,2,2.5,Shenzhen Store #1292,Clearance Sale
2024-04-24,20:04:49,Stapler,14.45,4,57.8,Los Angeles Store #1680,
2024-03-05,15:42:07,Vacuum Cleaner,171.61,3,514.83,Los Angeles Store #1680,
2024-02-28,05:19:06,Building Blocks,40.91,6,245.46,New York Store #751,
2024-04-11,02:37:44,Stapler,11.67,3,35.01,New York Store #751,
2024-10-16,01:22:34,Organic Eggs,2.28,2,4.56,Beijing Store #3457,
2024-09-07,03:27:23,Electric Toothbrush,85.17,3,255.51,Los Angeles Store #1680,
2024-11-29,08:39:51,Self-Help Book,14.3,3,42.9,New York Store #2616,
2024-05-05,02:17:56,Camping Tent,166.18,3,498.54,Chicago Store #917,
2024-06-15,05:31:13,Smartphone,606.3,2,1212.6,New York Store #751,
2024-01-06,16:12:05,Running Shoes,79.09,1,79.09,Los Angeles Store #4041,
2024-09-08,14:50:01,Motor Oil,22.13,1,22.13,Saint Petersburg Store #3484,
2024-10-10,16:22:27,Makeup Palette,34.63,3,103.89,Beijing Store #3457,
2024-04-08,10:07:47,Jeans,61.41,3,184.23,New York Store #5882,
2024-10-28,16:38:18,Running Shoes,63.7,1,63.7,Los Angeles Store #4041,
2024-03-05,08:02:03,Windshield Wipers,23.88,3,71.64,New York Store #5882,
2024-01-07,18:18:30,Blender,34.75,2,69.5,Manchester Store #9561,Holiday Discount
2024-09-08,02:36:40,Gaming Console,259.68,3,779.04,Los Angeles Store #8280,
2024-03-01,17:48:26,Desk Organizer,17.37,3,52.11,New York Store #5882,
2024-06-01,18:27:19,Ballpoint Pens,5.27,3,15.81,New York Store #751,
2024-04-18,08:42:05,T-Shirt,18.8,1,18.8,Chicago Store #8202,
2024-08-28,09:02:14,Car Battery,96.24,2,192.48,New York Store #751,
2024-11-16,18:42:51,Notebook,6.36,1,6.36,Beijing Store #3457,
2024-02-06,01:10:50,Cheese,8.59,2,17.18,Los Angeles Store #7434,
2024-06-04,22:25:17,Cookbook,23.13,3,69.39,Chicago Store #2665,
2024-11-05,08:01:05,Milk,2.67,1,2.67,Frankfurt Store #4372,
2024-12-10,08:36:02,Desk Organizer,18.03,1,18.03,Chicago Store #8202,
2024-11-21,15:05:30,Doll,18.27,3,54.81,New York Store #2616,
2024-09-10,09:42:25,Electric Toothbrush,67.74,4,270.96,Shenzhen Store #9655,
2024-09-20,00:42:55,Electric Toothbrush,36.5,3,109.5,Chicago Store #8202,
2024-08-14,01:13:17,Self-Help Book,10.76,3,32.28,New York Store #5169,
2024-11-18,19:51:15,Smartphone,795.76,4,3183.04,Shanghai Store #4375,
2024-02-28,14:07:41,Desk Organizer,19.33,1,19.33,Los Angeles Store #8280,
2024-08-29,07:29:35,Cheese,9.37,1,9.37,New York Store #5882,
2024-05-21,13:21:59,Cereal,2.01,3,6.03,Monterrey Store #4120,
2024-12-03,15:55:09,Doll,19.04,3,57.12,Houston Store #9764,
2024-06-13,06:44:15,Science Fiction Novel,30.68,3,92.04,Houston Store #4423,
2024-07-14,12:42:50,Cookbook,24.86,3,74.58,Marseille Store #7528,Clearance Sale
2024-02-21,14:06:33,Shampoo,11.15,4,44.6,Chicago Store #8202,
2024-05-15,10:39:44,Cookbook,35.55,2,71.1,Shenzhen Store #9655,
2024-06-11,20:45:56,Makeup Palette,12.51,2,25.02,Houston Store #9764,Buy One Get One
2024-08-10,03:48:40,Milk,1.89,3,5.67,Busan Store #8318,
2024-01-29,09:22:23,Wireless Headphones,182.79,2,365.58,Los Angeles Store #7434,
2024-02-10,19:55:24,Vacuum Cleaner,179.44,3,538.32,Beijing Store #772,
2024-08-23,08:42:00,Car Air Freshener,7.42,2,14.84,Chicago Store #1675,
2024-10-27,09:40:27,Shampoo,17.68,3,53.04,Chicago Store #2665,
2024-05-01,12:36:22,Cookbook,30.98,3,92.94,New York Store #751,Holiday Discount
2024-12-17,23:03:58,Action Figure,34.99,5,174.95,New York Store #5882,
2024-06-29,07:40:12,Jeans,65.33,3,195.99,Shanghai Store #2267,
2024-02-19,20:41:02,Vacuum Cleaner,68.01,2,136.02,Beijing Store #3457,
2024-06-16,23:26:11,Ballpoint Pens,4.78,1,4.78,Osaka Store #8929,
2024-03-25,08:58:52,Ballpoint Pens,3.07,2,6.14,Houston Store #4423,
2024-02-08,04:48:14,Cookbook,39.4,3,118.2,Beijing Store #772,
2024-07-21,00:16:34,Perfume,107.47,1,107.47,Beijing Store #772,
2024-07-09,03:43:14,Organic Eggs,3.31,7,23.17,Chicago Store #917,
2024-08-25,22:19:41,Car Air Freshener,2.36,2,4.72,New York Store #5169,Holiday Discount
2024-10-02,04:24:29,Jeans,64.59,2,129.18,Los Angeles Store #8280,
2024-03-20,13:41:06,Milk,2.88,2,5.76,Toronto Store #6228,
2024-08-15,07:54:23,T-Shirt,14.18,1,14.18,Saint Petersburg Store #3484,
2024-05-21,06:07:54,Smartwatch,147.87,2,295.74,New York Store #5169,
2024-06-19,07:08:50,Smartwatch,345.54,3,1036.62,Chicago Store #8202,
