Date,Time,Product Name,Unit Price,Quantity Sold,Revenue,Store Name,Sales Campaign
2023-09-08,20:38:51,Headphones,423.68,2,847.35,"Wilson, Richardson and Franklin Store",10% off Black Friday
2024-04-04,02:13:57,Jeans,693.09,4,2772.37,"Mathews, Weeks and Thomas Store",
2023-04-28,23:48:42,Jacket,825.76,5,4128.82,"Wilson, Richardson and Franklin Store",Summer Sale
2024-05-13,03:02:29,T-shirt,1127.14,1,1127.14,"Wilson, Richardson and Franklin Store",10% off Black Friday
2024-09-18,08:09:44,Washing Machine,954.3,5,4771.49,Norris-Nelson Store,10% off Black Friday
2023-09-22,03:17:43,Headphones,294.41,3,883.24,"Mathews, Weeks and Thomas Store",Summer Sale
2024-08-24,08:03:49,Microwave,384.66,1,384.66,"Osborne, Nelson and Gates Store",
2024-04-15,01:13:26,Microwave,232.27,4,929.1,"Mathews, Miller and Webb Store",Summer Sale
2024-07-24,03:17:32,Fiction,277.56,4,1110.24,"Wilson, Phillips and Summers Store",Summer Sale
2023-06-19,06:22:03,Non-Fiction,531.64,5,2658.19,"Osborne, Nelson and Gates Store",10% off Black Friday
2023-06-01,01:22:01,Shoes,842.69,3,2528.06,"Mathews, Miller and Webb Store",Summer Sale
2024-12-15,09:02:50,Laptop,1141.68,14,15983.58,"Mathews, Weeks and Thomas Store",Summer Sale
2024-05-16,21:16:07,Puzzle,327.98,1,327.98,Lewis LLC Store,
2023-08-22,14:35:31,Puzzle,620.46,1,620.46,"Mathews, Miller and Webb Store",10% off Black Friday
2024-02-04,12:33:44,Non-Fiction,430.88,1,430.88,"Hamilton, Barnes and Hale Store",
2024-04-08,13:51:56,Washing Machine,763.33,1,763.33,"Wilson, Phillips and Summers Store",
2024-12-14,07:29:28,Microwave,378.86,3,1136.59,Lewis LLC Store,
2024-05-31,08:04:59,Microwave,297.41,5,1487.04,Norris-Nelson Store,10% off Black Friday
2023-06-22,06:52:37,Doll,627.42,2,1254.84,Lewis LLC Store,10% off Black Friday
2023-03-18,01:29:54,Textbooks,576.51,4,2306.06,"Jones, Terrell and Reynolds Store",
2023-05-27,03:30:01,Board Game,266.96,5,1334.82,"Mathews, Miller and Webb Store",Summer Sale
2023-08-27,21:43:53,Vacuum Cleaner,534.23,5,2671.13,"Jones, Terrell and Reynolds Store",
2023-10-08,13:25:18,Headphones,685.83,5,3429.13,"Mathews, Miller and Webb Store",
2025-01-09,11:18:10,Doll,826.59,4,3306.38,Lewis LLC Store,10% off Black Friday
2025-01-22,05:06:42,Jeans,544.39,5,2721.95,"Hamilton, Barnes and Hale Store",
2024-11-21,02:11:00,Smartphone,667.45,5,3337.24,Lewis LLC Store,10% off Black Friday
2023-07-13,14:24:27,Tablet,319.9,1,319.9,"Wilson, Richardson and Franklin Store",
2024-05-28,18:59:00,Board Game,634.44,2,1268.87,"Ramirez, Marshall and West Store",
2024-11-13,14:00:07,Puzzle,626.91,12,7522.91,"Wilson, Phillips and Summers Store",Summer Sale
2023-08-05,17:11:43,Smartphone,1090.89,4,4363.54,"Mathews, Weeks and Thomas Store",Summer Sale
2023-03-04,15:44:47,Puzzle,621.32,5,3106.62,"Hamilton, Barnes and Hale Store",10% off Black Friday
2024-04-04,17:00:36,Children's Books,106.89,5,534.46,"Wilson, Phillips and Summers Store",Summer Sale
2023-07-09,04:04:42,Textbooks,214.04,3,642.13,"Hamilton, Barnes and Hale Store",Summer Sale
2024-07-06,06:20:57,Board Game,347.02,1,347.02,Lewis LLC Store,10% off Black Friday
2023-10-11,13:50:31,Jeans,1120.16,1,1120.16,"Osborne, Nelson and Gates Store",
2023-05-10,08:39:39,Headphones,708.76,2,1417.52,"Osborne, Nelson and Gates Store",10% off Black Friday
2024-01-05,00:05:12,Washing Machine,837.22,5,4186.09,"Ramirez, Marshall and West Store",10% off Black Friday
2024-01-13,07:16:27,T-shirt,1181.79,4,4727.15,"Mathews, Miller and Webb Store",Summer Sale
2024-02-12,19:33:17,Action Figure,856.83,1,856.83,"Hamilton, Barnes and Hale Store",Summer Sale
2024-11-04,17:25:08,Smartphone,1236.63,17,21022.79,Lewis LLC Store,Summer Sale
2023-02-22,18:23:52,Refrigerator,97.51,4,390.04,"Wilson, Richardson and Franklin Store",10% off Black Friday
2023-02-18,12:03:38,Tablet,520.08,5,2600.38,"Wilson, Richardson and Franklin Store",
2023-08-09,01:59:22,Jeans,509.66,2,1019.32,"Wilson, Phillips and Summers Store",Summer Sale
2023-05-20,17:43:53,Tablet,736.24,5,3681.21,"Hamilton, Barnes and Hale Store",Summer Sale
