date,time,product_name,unit_price,quantity,revenue,store_name,campaign
2024-04-22,02:57:00,Product_92,29.81,15,447.15,Store_9,
2024-04-23,13:14:00,Product_79,26.68,3,80.04,Store_32,Summer Sale
2024-09-15,20:47:00,Product_69,73.83,2,147.66,Store_33,Summer Sale
2024-11-28,10:12:00,Product_48,82.25,18,1480.5,Store_7,10% off Black Friday
2024-09-08,23:59:00,Product_83,90.06,6,540.36,Store_28,
2024-10-31,14:35:00,Product_70,93.86,15,1407.9,Store_25,Summer Sale
2024-10-05,12:08:00,Product_27,90.92,10,909.2,Store_2,
2024-11-16,06:35:00,Product_60,94.41,13,1227.33,Store_19,
2024-04-04,15:45:00,Product_3,60.48,10,604.8,Store_37,
2024-03-01,14:48:00,Product_14,83.45,3,250.35,Store_21,10% off Black Friday
2024-03-15,21:08:00,Product_75,75.12,2,150.24,Store_35,10% off Black Friday
2024-09-04,17:48:00,Product_95,84.64,20,1692.8,Store_19,10% off Black Friday
2024-04-18,11:58:00,Product_30,64.72,1,64.72,Store_25,Summer Sale
2024-10-16,22:23:00,Product_43,95.46,16,1527.36,Store_28,Summer Sale
2025-01-20,11:33:00,Product_31,96.7,5,483.5,Store_40,10% off Black Friday
2024-03-14,02:07:00,Product_41,31.46,6,188.76,Store_28,10% off Black Friday
2024-11-29,18:37:00,Product_5,43.79,5,218.95,Store_25,Summer Sale
2024-07-11,22:30:00,Product_31,22.85,14,319.9,Store_44,10% off Black Friday
2024-11-14,07:08:00,Product_9,9.31,10,93.1,Store_14,10% off Black Friday
2024-08-30,02:22:00,Product_81,50.17,14,702.38,Store_28,Summer Sale
2024-06-21,01:18:00,Product_67,12.28,17,208.76,Store_42,Summer Sale
2024-06-16,23:36:00,Product_83,46.29,15,694.35,Store_41,Summer Sale
2024-04-20,14:40:00,Product_19,76.86,8,614.88,Store_25,10% off Black Friday
2024-04-21,21:48:00,Product_87,9.34,10,93.4,Store_33,10% off Black Friday
2024-03-24,04:11:00,Product_54,89.97,2,179.94,Store_31,
2024-02-07,07:21:00,Product_10,97.8,12,1173.6,Store_21,Summer Sale
2024-07-16,22:09:00,Product_43,33.14,3,99.42,Store_31,
2024-09-28,18:02:00,Product_80,18.26,8,146.08,Store_27,Summer Sale
2024-06-01,12:58:00,Product_39,55.03,19,1045.57,Store_43,10% off Black Friday
2024-09-11,09:52:00,Product_59,58.42,8,467.36,Store_36,10% off Black Friday
2024-12-23,10:58:00,Product_73,7.7,7,53.9,Store_17,
2024-08-25,07:03:00,Product_80,88.18,15,1322.7,Store_4,10% off Black Friday
2024-02-18,18:06:00,Product_98,26.77,20,535.4,Store_36,10% off Black Friday
2024-08-25,14:26:00,Product_31,47.42,9,426.78,Store_16,10% off Black Friday
2024-09-04,17:44:00,Product_2,84.13,2,168.26,Store_45,
2025-01-15,14:04:00,Product_91,47.89,3,143.67,Store_22,Summer Sale
2024-07-15,07:23:00,Product_73,48.63,19,923.97,Store_41,
2024-12-07,00:48:00,Product_84,50.62,16,809.92,Store_28,
2024-04-06,00:18:00,Product_42,13.2,3,39.6,Store_20,
2024-06-09,21:38:00,Product_60,11.05,13,143.65,Store_37,Summer Sale
2024-02-07,16:07:00,Product_99,55.55,11,611.05,Store_7,
2024-08-01,12:48:00,Product_77,43.32,19,823.08,Store_27,10% off Black Friday
2024-02-16,00:45:00,Product_15,90.72,4,362.88,Store_37,10% off Black Friday
2024-06-19,02:24:00,Product_94,42.8,4,171.2,Store_21,10% off Black Friday
2024-10-25,01:24:00,Product_51,19.57,6,117.42,Store_5,
2024-09-24,22:47:00,Product_45,65.01,12,780.12,Store_29,
2024-09-23,13:02:00,Product_46,42.83,11,471.13,Store_39,10% off Black Friday
2024-11-15,00:53:00,Product_32,62.66,10,626.6,Store_44,10% off Black Friday
2024-08-30,09:53:00,Product_59,58.94,19,1119.86,Store_30,Summer Sale
2024-06-22,07:06:00,Product_5,62.87,19,1194.53,Store_21,
2024-07-27,10:54:00,Product_77,48.25,18,868.5,Store_21,
2024-08-30,14:57:00,Product_43,82.24,8,657.92,Store_13,10% off Black Friday
2024-11-06,16:52:00,Product_42,22.01,12,264.12,Store_16,
2024-10-07,05:18:00,Product_59,51.5,14,721.0,Store_31,10% off Black Friday
2024-11-05,04:51:00,Product_89,88.22,16,1411.52,Store_14,10% off Black Friday
2024-05-03,20:02:00,Product_41,72.41,12,868.92,Store_20,
2024-12-24,22:33:00,Product_16,5.34,13,69.42,Store_20,
2024-03-23,07:24:00,Product_53,59.47,4,237.88,Store_44,10% off Black Friday
2024-03-31,20:33:00,Product_58,53.14,1,53.14,Store_43,Summer Sale
2024-05-09,04:03:00,Product_49,81.17,1,81.17,Store_20,Summer Sale
2024-03-26,06:27:00,Product_57,17.1,14,239.4,Store_22,
2024-10-16,21:23:00,Product_16,82.13,2,164.26,Store_36,
2024-03-21,16:54:00,Product_25,97.06,10,970.6,Store_13,
2024-08-20,22:45:00,Product_52,61.42,10,614.2,Store_11,
2024-08-09,14:54:00,Product_55,15.49,8,123.92,Store_23,
2024-09-22,22:59:00,Product_67,28.82,11,317.02,Store_30,10% off Black Friday
2024-11-06,09:15:00,Product_59,87.2,7,610.4,Store_7,
2024-05-10,07:14:00,Product_93,55.09,6,330.54,Store_36,Summer Sale
2024-07-01,20:19:00,Product_57,99.48,13,1293.24,Store_5,
2025-01-23,16:41:00,Product_23,52.16,18,938.88,Store_11,10% off Black Friday
2024-10-15,12:54:00,Product_60,82.66,19,1570.54,Store_34,Summer Sale
2024-09-08,16:16:00,Product_65,60.64,2,121.28,Store_45,
2024-11-12,20:04:00,Product_84,8.07,4,32.28,Store_15,10% off Black Friday
2024-09-07,09:19:00,Product_24,87.08,7,609.56,Store_37,
2024-07-21,08:23:00,Product_34,90.81,18,1634.58,Store_22,
2024-04-20,03:29:00,Product_88,82.69,19,1571.11,Store_37,
2024-04-03,23:05:00,Product_95,85.51,13,1111.63,Store_14,Summer Sale
2024-03-28,01:52:00,Product_25,9.5,15,142.5,Store_32,10% off Black Friday
2024-08-11,12:00:00,Product_17,25.37,9,228.33,Store_1,Summer Sale
2024-03-27,08:41:00,Product_14,11.44,2,22.88,Store_2,
2024-12-17,19:52:00,Product_20,70.0,10,700.0,Store_8,Summer Sale
2024-11-10,06:30:00,Product_54,15.89,2,31.78,Store_19,
2024-04-22,00:23:00,Product_11,59.21,8,473.68,Store_22,Summer Sale
2024-04-16,11:41:00,Product_7,93.92,5,469.6,Store_40,Summer Sale
2024-05-06,02:34:00,Product_56,83.29,14,1166.06,Store_45,
2024-03-08,21:42:00,Product_92,19.4,5,97.0,Store_4,
2024-11-20,09:51:00,Product_58,97.35,20,1947.0,Store_28,10% off Black Friday
2024-06-21,03:52:00,Product_36,12.58,15,188.7,Store_16,Summer Sale
2024-02-28,08:00:00,Product_60,66.53,9,598.77,Store_4,10% off Black Friday
2024-06-02,19:04:00,Product_99,83.24,3,249.72,Store_43,10% off Black Friday
2024-07-12,09:08:00,Product_70,79.9,2,159.8,Store_10,Summer Sale
2024-09-12,21:09:00,Product_63,66.19,9,595.71,Store_35,Summer Sale
2024-01-30,05:24:00,Product_26,95.16,8,761.28,Store_9,10% off Black Friday
2024-08-30,09:30:00,Product_37,66.99,18,1205.82,Store_44,10% off Black Friday
2024-02-19,13:41:00,Product_44,38.59,12,463.08,Store_14,Summer Sale
2024-04-23,12:58:00,Product_94,28.92,5,144.6,Store_2,10% off Black Friday
2024-06-12,11:08:00,Product_11,72.91,5,364.55,Store_19,
2025-01-09,02:07:00,Product_69,15.83,12,189.96,Store_33,
2024-05-15,22:04:00,Product_1,38.51,17,654.67,Store_7,Summer Sale
2024-08-15,21:55:00,Product_70,84.19,12,1010.28,Store_14,Summer Sale
2024-05-29,19:19:00,Product_9,78.35,1,78.35,Store_28,
2024-04-30,22:50:00,Product_22,92.09,5,460.45,Store_27,10% off Black Friday
2024-09-19,03:30:00,Product_71,18.68,17,317.56,Store_26,Summer Sale
2024-04-13,22:10:00,Product_63,48.07,19,913.33,Store_21,10% off Black Friday
2024-04-14,04:12:00,Product_63,59.71,10,597.1,Store_28,10% off Black Friday
2024-09-05,10:12:00,Product_5,37.5,19,712.5,Store_44,Summer Sale
2024-03-10,00:39:00,Product_72,55.89,11,614.79,Store_16,10% off Black Friday
2024-07-14,06:31:00,Product_18,65.79,2,131.58,Store_13,10% off Black Friday
2025-01-23,10:36:00,Product_35,20.28,14,283.92,Store_4,Summer Sale
2024-02-26,08:12:00,Product_18,77.66,9,698.94,Store_39,Summer Sale
2024-09-11,04:26:00,Product_80,43.94,3,131.82,Store_43,
2024-03-13,14:57:00,Product_87,33.9,13,440.7,Store_35,10% off Black Friday
2024-12-01,06:31:00,Product_52,26.43,15,396.45,Store_26,Summer Sale
2024-08-17,22:13:00,Product_58,75.08,3,225.24,Store_24,
2024-02-01,03:01:00,Product_43,67.06,16,1072.96,Store_40,
2024-02-24,20:15:00,Product_84,5.34,11,58.74,Store_43,Summer Sale
2024-09-22,00:45:00,Product_90,15.23,3,45.69,Store_34,Summer Sale
2025-01-16,02:05:00,Product_7,76.44,6,458.64,Store_9,Summer Sale
2024-11-29,17:28:00,Product_64,41.0,13,533.0,Store_25,10% off Black Friday
2024-03-05,16:25:00,Product_6,14.65,18,263.7,Store_45,
2024-09-02,18:34:00,Product_51,76.17,1,76.17,Store_29,
2024-03-10,04:28:00,Product_24,92.08,15,1381.2,Store_24,Summer Sale
2024-03-18,17:14:00,Product_18,65.0,14,910.0,Store_33,
2024-10-02,00:16:00,Product_75,93.63,12,1123.56,Store_41,Summer Sale
2024-09-21,23:11:00,Product_68,39.2,13,509.6,Store_44,10% off Black Friday
2024-04-27,18:23:00,Product_83,32.17,13,418.21,Store_28,10% off Black Friday
2024-10-09,12:50:00,Product_53,53.36,16,853.76,Store_5,
2024-12-14,05:58:00,Product_4,88.92,19,1689.48,Store_43,10% off Black Friday
2024-08-23,18:24:00,Product_51,86.06,11,946.66,Store_9,
2024-08-02,16:11:00,Product_28,26.76,20,535.2,Store_26,
2024-09-02,18:06:00,Product_4,34.2,7,239.4,Store_29,Summer Sale
2024-12-31,06:41:00,Product_71,52.83,11,581.13,Store_14,Summer Sale
2025-01-17,14:37:00,Product_83,34.34,2,68.68,Store_23,
2024-04-26,14:40:00,Product_93,94.1,13,1223.3,Store_1,
2025-01-08,07:40:00,Product_9,28.73,17,488.41,Store_18,
2024-03-17,03:00:00,Product_54,96.28,16,1540.48,Store_5,10% off Black Friday
2024-11-02,08:50:00,Product_39,76.97,20,1539.4,Store_38,10% off Black Friday
2024-03-24,12:25:00,Product_50,52.04,15,780.6,Store_17,Summer Sale
2024-10-13,22:50:00,Product_58,99.28,15,1489.2,Store_5,10% off Black Friday
2024-04-20,00:26:00,Product_23,10.71,12,128.52,Store_33,10% off Black Friday
2024-05-30,15:19:00,Product_94,9.54,2,19.08,Store_33,Summer Sale
2024-11-15,06:43:00,Product_82,39.27,20,785.4,Store_16,
2024-12-30,08:20:00,Product_4,72.86,18,1311.48,Store_36,
2024-04-08,23:59:00,Product_87,97.68,17,1660.56,Store_38,
