date,time,product_name,unit_price,quantity,revenue,store_name,sales_campaign
2023-12-28,11:20,Board Game,24.44,9,219.96,Guangzhou Store,
2023-01-10,16:33,Board Game,34.34,8,274.72,Phoenix Store,
2023-07-20,08:16,Headphones,156.91,7,1098.37,Munich Store,
2023-04-12,15:28,Yoga Mat,25.12,5,125.6,Guangzhou Store,
2023-09-25,11:05,Bestseller Novel,18.24,4,72.96,Shanghai Store,
2023-11-15,11:30,Cookbook,25.67,8,205.36,New York Store,
2023-11-04,16:51,Bestseller Novel,11.84,5,59.2,Phoenix Store,
2023-12-13,20:04,Cookbook,33.84,8,270.72,Guangzhou Store,
2023-11-20,12:26,Yoga Mat,18.55,10,185.5,Tokyo Store,
2023-08-14,11:49,T-Shirt,20.21,7,141.47,Edinburgh Store,
2023-11-22,18:58,Snack Box,5.82,3,17.46,Chicago Store,
2023-06-07,11:17,Skincare Set,38.55,2,77.1,Chicago Store,
2023-06-19,10:32,Jeans,64.96,8,519.68,Shanghai Store,
2023-03-10,17:23,T-Shirt,27.3,3,81.9,Beijing Store,
2023-11-12,20:32,Headphones,72.43,8,579.44,Munich Store,
2023-12-08,16:14,Board Game,46.09,3,138.27,Beijing Store,
2023-09-01,14:20,Smartphone,736.65,8,5893.2,Guangzhou Store,
2023-12-04,10:56,Snack Box,6.46,10,64.6,Osaka Store,
2023-10-07,10:03,Organic Coffee,10.16,1,10.16,New York Store,
2023-01-24,11:38,Snack Box,7.96,7,55.72,Mumbai Store,
2023-04-15,15:43,Snack Box,5.39,3,16.17,Beijing Store,
2023-08-14,11:43,Board Game,45.1,7,315.7,Tokyo Store,
2023-12-21,08:37,Jeans,71.7,3,215.1,Guangzhou Store,
2023-04-24,08:37,Cookbook,34.94,1,34.94,Tokyo Store,
2023-01-25,20:52,Perfume,52.01,9,468.09,Tokyo Store,
2023-12-26,16:36,Yoga Mat,39.27,7,274.89,Manchester Store,Holiday Special
2023-02-16,18:59,Winter Jacket,84.63,2,169.26,Mumbai Store,
2023-12-17,18:47,Skincare Set,55.5,1,55.5,Munich Store,
2023-11-09,11:12,Snack Box,8.9,1,8.9,Guangzhou Store,
2023-06-26,17:38,Skincare Set,50.71,3,152.13,Melbourne Store,
2023-08-22,08:00,Organic Coffee,12.62,9,113.58,Beijing Store,
2023-06-10,20:13,T-Shirt,21.01,8,168.08,Chicago Store,
2023-12-26,14:11,Jeans,66.7,6,400.2,Tokyo Store,
2023-03-13,09:00,Bestseller Novel,16.19,3,48.57,Delhi Store,
2023-03-12,12:17,Board Game,21.71,8,173.68,Houston Store,
2023-05-16,10:33,Snack Box,6.92,9,62.28,Guangzhou Store,
2023-06-03,10:26,Snack Box,9.54,5,47.7,Shanghai Store,
2023-12-04,08:15,Blender,41.48,7,290.36,Houston Store,
2023-07-29,10:04,Snack Box,6.74,1,6.74,Berlin Store,
2023-08-16,19:50,LEGO Set,87.66,7,613.62,New York Store,
2023-10-15,12:12,Cookware Set,119.32,5,596.6,Houston Store,
2023-10-10,15:17,Headphones,53.84,1,53.84,Los Angeles Store,
2023-11-15,20:21,Smartphone,979.45,7,6856.15,Shanghai Store,
2023-08-01,17:17,Snack Box,6.51,2,13.02,London Store,
2023-02-08,17:50,Snack Box,7.23,1,7.23,Berlin Store,
2023-05-28,11:02,Headphones,83.02,2,166.04,Chicago Store,
2023-11-20,12:45,Cookbook,15.22,2,30.44,Guangzhou Store,
2023-08-05,15:22,Bestseller Novel,22.31,8,178.48,Tokyo Store,
2023-12-16,20:33,Bestseller Novel,14.1,9,126.9,Sao Paulo Store,
2023-12-01,17:54,Skincare Set,71.33,10,713.3,Beijing Store,
2023-07-17,18:46,Jeans,77.42,6,464.52,New York Store,
2023-03-18,10:57,Cookbook,32.43,6,194.58,Guangzhou Store,
