date,time,product_name,unit_price,quantity,revenue,store_name,campaign
2022-01-20,16:23:18,Smartphone,823.49,2,1646.98,Electronics Hub MUM,
2023-02-16,15:26:03,Underwear,25.87,2,51.74,Casual Wear SAO,
2022-01-11,03:12:12,Smartphone,185.21,5,926.05,Lifestyle Store ZRH,
2022-03-18,10:48:31,Puzzle,88.22,5,441.1,Gadget World CHI,
2022-07-06,00:08:52,Dress,36.32,2,72.64,Modern Tech SEL,
2022-08-28,11:43:19,Headphones,530.35,5,2651.75,Urban Apparel LA,
2022-11-30,05:12:19,Puzzle,109.82,8,878.56,Smart Mall SHA,
2022-01-17,00:30:46,Jeans,57.14,3,171.42,Urban Apparel LA,
2022-08-30,12:41:17,Eggs,5.83,4,23.32,Tech Haven NYC,
2023-09-04,07:24:00,Action Figure,84.39,3,253.17,Gadget World CHI,
2022-06-07,11:30:59,Dress,96.87,4,387.48,Urban Basics MTL,
2023-03-15,20:00:04,Doll,61.92,4,247.68,Tech Haven NYC,
2022-05-10,00:25:07,Butter,7.16,1,7.16,Smart Mall SHA,
2022-05-02,12:52:22,Eggs,15.14,2,30.28,Urban Apparel LA,
2022-02-12,02:07:41,Board Game,12.14,4,48.56,Urban Apparel LA,
2022-12-09,00:27:52,Underwear,151.78,4,607.12,Urban Apparel LA,
2022-07-28,01:38:23,Children Book,72.2,5,361.0,Urban Apparel LA,
2022-05-17,15:26:42,Cookbook,75.32,4,301.28,Chic Boutique ROM,
2023-02-16,21:48:16,Smart TV,892.72,2,1785.44,Urban Apparel LA,
2023-04-09,04:34:03,T-Shirt,105.17,1,105.17,Trendy Outlet MEX,
2022-04-13,18:46:34,Sneakers,110.31,3,330.93,Gadget World CHI,
2023-02-28,09:35:35,Smartphone,143.78,1,143.78,Trendy Outlet MEX,
2023-03-27,10:48:47,Headphones,671.35,5,3356.75,Urban Apparel LA,
2022-06-15,09:08:52,Jacket,193.98,1,193.98,Tech Haven NYC,
2023-05-17,01:23:27,Refrigerator,359.5,6,2157.0,Urban Apparel LA,
2023-12-30,23:05:37,Eggs,18.04,2,36.08,Digital Plaza BER,
2022-05-02,02:19:06,T-Shirt,114.8,1,114.8,Trendy Market TOK,
2022-10-03,00:52:29,Children Book,77.57,3,232.71,Tech Haven NYC,
2023-06-12,15:54:35,Sneakers,186.58,4,746.32,Digital Plaza BER,
2023-09-17,02:31:13,Tablet,189.82,5,949.1,Urban Apparel LA,
2023-11-18,18:04:49,Eggs,9.15,6,54.9,Tech Haven NYC,
2022-10-02,13:50:21,Textbook,65.28,3,195.84,Tech Haven NYC,
2023-05-03,04:27:20,Doll,116.58,1,116.58,Urban Apparel LA,
2023-08-06,09:41:05,Underwear,133.55,3,400.65,Trendy Market TOK,
2022-08-04,10:14:13,Jeans,116.97,2,233.94,Metro Style PAR,
2023-01-25,23:59:31,Tablet,978.25,2,1956.5,Tech Haven NYC,
2022-01-13,21:06:03,Bread,17.52,4,70.08,Urban Apparel LA,
2022-08-16,11:30:02,T-Shirt,17.28,2,34.56,ShopWorld BCN,
2023-03-25,01:18:21,Eggs,15.76,5,78.8,TechnoZone HKG,
2022-11-08,22:43:02,Puzzle,67.46,2,134.92,Metro Style PAR,
2022-01-23,17:43:33,Blender,669.94,3,2009.82,Tech Haven NYC,
2022-09-05,02:13:06,Doll,109.55,2,219.1,Tech Haven NYC,
2023-06-30,07:26:45,Tablet,387.34,1,387.34,Casual Wear SAO,
2022-01-02,23:48:56,Dress,114.21,4,456.84,Gadget World CHI,
2023-01-15,09:56:59,Smartphone,826.94,1,826.94,Tech Haven NYC,
2023-05-08,03:51:29,Jacket,172.15,5,860.75,Trendy Market TOK,
2022-12-01,01:20:52,Butter,6.38,3,19.14,Trendy Market TOK,
2023-02-07,03:43:39,Gaming Console,994.04,3,2982.12,Revive Shop LIS,
2023-04-23,13:17:43,Butter,8.97,5,44.85,Tech Haven NYC,
2023-12-28,20:21:34,Children Book,43.41,3,130.23,Urban Basics MTL,
2023-07-20,09:43:23,Gaming Console,480.92,4,1923.68,Fashion Hub LON,
2023-03-20,11:06:09,T-Shirt,37.43,6,224.58,Tech Central BRU,
2022-03-10,00:26:09,Board Game,82.58,2,165.16,StyleStop AMS,
2023-03-03,07:44:39,Milk,17.17,5,85.85,Gadget World CHI,
2022-08-24,15:20:25,Board Game,21.35,3,64.05,Innova Market LUX,
2022-09-30,20:21:25,Microwave,139.48,3,418.44,Urban Apparel LA,
2022-01-25,15:24:00,Bread,8.61,1,8.61,Urban Apparel LA,
2023-12-27,07:32:05,Doll,14.71,2,29.42,StyleStop AMS,
2022-01-05,22:32:17,Comic Book,52.08,3,156.24,CityMart MAD,
2023-10-25,20:04:42,Refrigerator,513.13,2,1026.26,Gadget World CHI,10% off Black Friday
2022-03-21,14:38:06,Dress,190.5,8,1524.0,Tech Haven NYC,
2022-10-06,08:13:26,Bread,2.37,3,7.11,Smart Mall SHA,
2023-12-16,12:19:46,Children Book,49.61,1,49.61,Smart Mall SHA,
2023-02-27,11:51:25,Cereal,2.92,3,8.76,Digital Plaza BER,
2022-12-01,04:57:10,Butter,5.8,1,5.8,Urban Apparel LA,
2022-05-29,07:53:17,Comic Book,77.52,4,310.08,Electronics Hub MUM,
2023-09-10,18:18:11,Board Game,127.8,5,639.0,Trendy Market TOK,
2022-06-10,03:16:51,Butter,17.73,3,53.19,Urban Apparel LA,
2023-04-12,18:49:02,Cereal,11.03,1,11.03,ShopWorld BCN,
2022-08-31,19:41:19,Cookbook,20.36,2,40.72,Boutique BUD,
2023-02-15,21:43:36,Doll,119.54,5,597.7,CityStyle DUB,
2022-02-08,19:28:03,Novel,48.24,4,192.96,Trendy Market TOK,
2023-10-11,13:19:45,Headphones,637.48,2,1274.96,Smart Mall SHA,
2022-05-22,20:35:01,Headphones,790.77,3,2372.31,Urban Apparel LA,
