date,time,product_name,unit_price,quantity,revenue,store_name,campaign
2024-07-31,18:05:36,Hair Dryer,26.12,3,78.36,Infinity Depot 52,
2024-08-13,18:09:07,Jacket,62.28,1,62.28,Infinity Express,
2024-04-26,08:19:18,Sneakers,31.3,1,31.3,Elite Mart,
2024-10-06,07:17:18,Fiction Novel,10.04,2,20.08,Royal Depot,
2024-01-19,17:47:42,Chair,162.91,1,162.91,Urban Bazaar,
2024-05-10,01:04:46,Refrigerator,1350.07,2,2700.14,Dynamic Bazaar,
2024-06-10,09:06:03,Eggs,3.22,1,3.22,Infinity Depot 52,
2024-09-12,15:59:02,Refrigerator,617.88,2,1235.76,Dynamic Bazaar,
2024-01-25,09:08:34,Football,32.53,2,65.06,Pioneer Emporium,
2024-10-12,05:28:28,Dress,76.28,3,228.84,Grand Corner,
2024-10-01,20:44:28,Smartphone,342.34,2,684.68,Royal Outlet,
2024-08-10,18:05:41,Tablet,371.22,1,371.22,Urban Shop,
2024-04-10,05:34:35,Running Shoes,73.77,1,73.77,Aurora Corner,
2024-06-18,07:33:18,Sofa,205.83,1,205.83,Infinity Express,
2024-08-31,15:30:41,Hair Dryer,37.45,2,74.9,Elite Mart,
2024-12-29,17:34:22,Yoga Mat,16.22,3,48.66,Pioneer Emporium,10% off Black Friday
2024-08-06,04:13:54,Hair Dryer,71.44,3,214.32,Aurora Corner,
2024-04-06,10:39:58,Yoga Mat,25.21,2,50.42,Royal Outlet,
2024-01-27,14:30:27,Action Figure,25.57,1,25.57,Cosmic Depot,
2024-12-05,06:21:45,Car Battery,113.55,2,227.1,Elite Mart,Winter Clearance
2024-06-15,02:06:09,Textbook,134.46,1,134.46,Global Express,
2024-01-24,04:59:35,Sneakers,101.26,1,101.26,Pioneer Emporium,
2024-01-19,07:08:07,Lego Set,97.46,1,97.46,Modern Emporium,
2024-06-27,01:24:27,Laptop,984.18,3,2952.54,Grand Store,
2024-02-15,16:04:55,Milk,1.19,7,8.33,Aurora Corner,
2024-10-24,22:04:20,Tablet,339.05,3,1017.15,Aurora Corner,
2024-03-19,11:49:47,Eggs,4.81,4,19.24,Grand Corner,
2024-09-11,06:31:14,Car Wax,17.41,3,52.23,Elite Mart,
2024-04-20,10:35:34,Yoga Mat,35.64,2,71.28,Infinity Mart,
2024-12-15,08:50:38,Hair Dryer,82.46,3,247.38,Royal Outlet,Winter Clearance
2024-04-28,14:43:23,Eggs,2.74,8,21.92,Royal Outlet,
2024-04-25,18:04:13,Bed,1084.91,1,1084.91,Aurora Mart,
2024-07-16,15:42:03,Dining Table,314.12,2,628.24,Cosmic Shop,
2024-01-13,19:16:25,Chair,285.28,3,855.84,Global Express,
2024-01-27,14:07:13,Action Figure,15.75,3,47.25,Aurora Emporium,
2024-05-23,03:05:59,Car Tire,171.47,3,514.41,Aurora Market,
2024-07-21,19:06:21,Eggs,5.07,7,35.49,Infinity Depot 52,
2024-12-19,01:17:53,Wiper Blades,28.83,2,57.66,Cosmic Depot,
2024-12-28,20:50:49,Desk,507.7,2,1015.4,Global Express,
2024-04-08,13:09:52,Yoga Mat,23.99,1,23.99,Aurora Mart,
2024-03-29,02:20:31,Car Battery,94.82,2,189.64,Epic Shop,
2024-06-19,12:39:23,Car Tire,186.41,1,186.41,Aurora Emporium,
2024-08-02,13:41:14,Jeans,87.93,2,175.86,Pioneer Mart 83,
2024-09-23,03:59:27,Tennis Racket,89.94,1,89.94,Metro Emporium,
2024-09-08,21:47:01,Running Shoes,132.15,3,396.45,Sunrise Corner,
2024-09-30,01:21:23,Sneakers,118.2,2,236.4,Cosmic Depot,
2024-10-21,09:37:47,Smartwatch,192.75,2,385.5,Metro Express,
2024-04-03,06:08:44,Eggs,4.33,7,30.31,Aurora Express,
2024-07-16,12:02:21,Yoga Mat,15.59,3,46.77,Aurora Market,
2024-10-07,13:29:01,Puzzle,8.59,1,8.59,Pioneer Emporium,
2024-06-22,11:03:16,Smartphone,666.45,3,1999.35,Metro Emporium,
2024-07-17,19:58:43,Air Conditioner,1043.14,1,1043.14,Elite Mart,
2024-03-24,20:27:13,Sofa,1047.58,1,1047.58,Grand Corner,
2024-09-23,23:27:56,Desk,321.42,2,642.84,Cosmic Depot 34,
2024-10-07,20:24:29,Nail Polish,3.09,1,3.09,Epic Store,
2024-04-10,22:19:45,Jeans,33.58,3,100.74,Grand Corner,
2024-10-06,05:52:31,Bread,1.12,9,10.08,Royal Outlet,
